project_entity_id,canonical_name_cn,canonical_name_en,electricity_rate_min,electricity_rate_max,electricity_unit,electricity_scope,electricity_confidence,water_rate_min,water_rate_max,water_unit,water_scope,water_confidence,management_fee_min,management_fee_max,management_fee_unit,management_fee_scope,internet_included_common,car_parking_fee_min,car_parking_fee_max,motorbike_parking_fee_min,motorbike_parking_fee_max,deposit_months_typical,minimum_lease_months,pool,gym,sauna,steam_room,jacuzzi,kids_playground,garden,rooftop,coworking,security_24h,reception,concierge,access_card,cctv,generator,backup_power,water_backup,pet_policy,short_term_allowed,airbnb_allowed,building_year,total_floors,tower_count,unit_count,studio_available,1br_available,2br_available,3br_available,4br_plus_available,balcony_common,river_view_available,city_view_available,furnished_typical,washing_machine_typical,bathtub_available,nearby_landmarks,notes,living_summary,verification_status,project_type,project_amenities,common_unit_features,unit_specific_feature_notes
project:the-star-platinum-paradigm,炳发 Paradigm,The Star Platinum Paradigm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,已确认项目identity/位置；租住费用与具体管理规则暂无足够独立证据，按具体房源/物业合同核验。,UNKNOWN,Borey/别墅社区,,,
project:the-star-platinum-polaris-i,炳发 Polaris I,The Star Platinum Polaris I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,已确认项目identity/位置；租住费用与具体管理规则暂无足够独立证据，按具体房源/物业合同核验。,UNKNOWN,Borey/店屋社区,,,
project:the-star-platinum-eco-melody,炳发 Eco Melody,The Star Platinum Eco Melody,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,一号路炳发社区；官方已确认部分社区公共配套，租住收费暂无统一项目级证据。,PARTIAL,Borey/别墅社区,花园;儿童区（部分项目官网明确）,,
project:the-star-platinum-eco-delta,炳发 Eco Delta,The Star Platinum Eco Delta,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,一号路炳发社区；官方已确认部分社区公共配套，租住收费暂无统一项目级证据。,PARTIAL,Borey/别墅社区,花园;儿童区（部分项目官网明确）,,
project:orkide-the-royal,Orkide The Royal 别墅社区,Orkide The Royal,,,,,,,,,,,,,,,,,,,,,,True,True,,,,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2004路Orkide别墅社区；官方确认联排、双拼、店屋等产品及社区会所/泳池等设施；费用随具体租约核验。,PARTIAL,Borey/别墅社区,花园;儿童区;健身房;泳池;健康会所,,
project:orkide-the-grand,Orkide The Grand,Orkide The Grand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,已确认项目identity/位置；租住费用与具体管理规则暂无足够独立证据，按具体房源/物业合同核验。,UNKNOWN,Borey/别墅社区,,,
project:orkide-botanic-city,Orkide Botanic City,Orkide The Botanic City,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,已确认项目identity/位置；租住费用与具体管理规则暂无足够独立证据，按具体房源/物业合同核验。,UNKNOWN,Borey/大型住宅社区,,,
project:orkide-pochentong,Orkide Pochentong,Orkide The Pochentong,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,已确认项目identity/位置；租住费用与具体管理规则暂无足够独立证据，按具体房源/物业合同核验。,UNKNOWN,Borey/住宅社区,,,
project:chip-mong-park-land-598,Chip Mong Park Land 598,Park Land 598,,,,,,,,,,,,,,,,,,,,,,True,,,,,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,598路Chip Mong社区；官方确认多类别墅/联排/店屋及会所、泳池、社区商场；租住收费按具体房源核验。,PARTIAL,Borey/别墅社区,会所;泳池;儿童区;屋顶花园;Chip Mong 598 Community Mall,,
project:chip-mong-park-land-50m,Chip Mong Park Land 50M,Park Land 50M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,已确认项目identity/位置；租住费用与具体管理规则暂无足够独立证据，按具体房源/物业合同核验。,UNKNOWN,Borey/别墅社区,,,
project:chip-mong-park-land-sen-sok,Chip Mong Park Land Sen Sok,Park Land Sen Sok,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,已确认项目identity/位置；租住费用与具体管理规则暂无足够独立证据，按具体房源/物业合同核验。,UNKNOWN,Borey/别墅社区,,,
project:chip-mong-park-land-tk,Chip Mong Park Land TK,Park Land TK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,已确认项目identity/位置；租住费用与具体管理规则暂无足够独立证据，按具体房源/物业合同核验。,UNKNOWN,Borey/住宅社区,,,
project:chip-mong-park-land-6a,Chip Mong Park Land 6A,Park Land 6A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,已确认项目identity/位置；租住费用与具体管理规则暂无足够独立证据，按具体房源/物业合同核验。,UNKNOWN,Borey/别墅社区,,,
project:chip-mong-landmark-271,Chip Mong Landmark 271,Landmark 271,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,已确认项目identity/位置；租住费用与具体管理规则暂无足够独立证据，按具体房源/物业合同核验。,UNKNOWN,Borey/综合住宅社区,,,
project:chip-mong-landmark-60m,Chip Mong Landmark 60M,Landmark 60M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,已确认项目identity/位置；租住费用与具体管理规则暂无足够独立证据，按具体房源/物业合同核验。,UNKNOWN,Borey/别墅社区,,,
project:chip-mong-grand-phnom-penh-city,Chip Mong Grand Phnom Penh City,Grand Phnom Penh City,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,已确认项目identity/位置；租住费用与具体管理规则暂无足够独立证据，按具体房源/物业合同核验。,UNKNOWN,Borey/大型住宅社区,,,
project:chip-mong-landriche-chamkar-dong,Chip Mong Land Riche Chamkar Dong,Land Riche Chamkar Dong,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,已确认项目identity/位置；租住费用与具体管理规则暂无足够独立证据，按具体房源/物业合同核验。,UNKNOWN,Borey/住宅社区,,,
project:chip-mong-park-land-tk-condo,Chip Mong Park Land TK 公寓,Park Land TK Condo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,已确认项目identity/位置；租住费用与具体管理规则暂无足够独立证据，按具体房源/物业合同核验。,UNKNOWN,公寓,,,
project:new-world-kour-srov-1-2,新世界 Kour Srov 1&2,Borey New World Kour Srov 1&2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,已确认项目identity/位置；租住费用与具体管理规则暂无足够独立证据，按具体房源/物业合同核验。,UNKNOWN,Borey/住宅社区,,,
project:new-world-kour-srov-3,新世界 Kour Srov 3,Borey New World Kour Srov 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,已确认项目identity/位置；租住费用与具体管理规则暂无足够独立证据，按具体房源/物业合同核验。,UNKNOWN,Borey/住宅社区,,,
project:piphup-thmey-sen-sok,新世界生活/皮普特梅 Sen Sok社区,Borey Piphup Thmey Sen Sok,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,已确认项目identity/位置；租住费用与具体管理规则暂无足够独立证据，按具体房源/物业合同核验。,UNKNOWN,Borey/住宅社区,,,
project:piphup-thmey-chamkar-dong,Piphup Thmey Chamkar Dong,Borey Piphup Thmey Chamkar Dong,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,已确认项目identity/位置；租住费用与具体管理规则暂无足够独立证据，按具体房源/物业合同核验。,UNKNOWN,Borey/住宅社区,,,
project:piphup-thmey-nr4,Piphup Thmey 4号路社区,Borey Piphup Thmey National Road 4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,已确认项目identity/位置；租住费用与具体管理规则暂无足够独立证据，按具体房源/物业合同核验。,UNKNOWN,Borey/住宅社区,,,
project:chankiri-palm-creek,Chankiri Palm Creek,Chankiri Palm Creek,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2号路南部Borey社区；靠近60米大道/永旺3方向；住宅产品和社区空间有官方/平台证据，租住收费暂无统一规则。,PARTIAL,Borey/别墅社区,公园;景观绿化;社区商业,,
project:the-palms,The Palms 棕榈社区,The Palms,,,,,,,,,,,,,,,,,,,,,,True,True,,,True,True,True,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,一号路湄公河边别墅/cluster house社区；公共设施与安保较明确；水电和管理费存在具体租约证据，暂不视为项目统一收费。,PARTIAL,Borey/别墅社区,人造沙滩;泳池;健身房;按摩池;会所;儿童设施;24小时安保,,
